Name,Price,Color,Mileage,Make,Model,City,Date Displayed,Automatic Transmission,Air Conditioner,Power Steering,Remote Control,Item URL
Jac J3 2021,"900,000 EGP",White,"240,000 Km",Jac,J3,6 October,2024-02-16,Yes,No,No,No,https://eg.hatla2ee.com/en/car/jac/j3/6286737
Skoda Kodiaq 2023,"3,000,000 EGP",Dark grey,,Skoda,Kodiaq,Tagamo3 - New Cairo,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/skoda/kodiaq/6286718
MG 5 2022,"1,170,000 EGP",Black,"48,000 Km",MG,5,Kafr el-Dawwar,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/moris-garage/mg-5/6286712
Hyundai Verna 2010,"285,000 EGP",White,"175,000 Km",Hyundai,Verna,Alexandria,2024-02-16,No,No,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/verna/6286706
Chevrolet Lanos 2011,,Dark red,,Chevrolet,Lanos,Alexandria,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/chevrolet/lanos2/6286704
Toyota Corolla 2021,"1,500,000 EGP",Black,"82,500 Km",Toyota,Corolla,Cairo,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/toyota/corolla/6279740
Nissan Sunny 2022,"650,000 EGP",White,"150,000 Km",Nissan,Sunny,Alexandria,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/nissan/sunny/6286692
Chevrolet Optra 2022,"90,000 EGP",Red,"85,000 Km",Chevrolet,Optra,Giza,2024-02-16,Yes,No,No,No,https://eg.hatla2ee.com/en/car/chevrolet/optra/6286685
Skoda Octavia A4 2003,"430,000 EGP",Black,"200,000 Km",Skoda,Octavia A4,Alexandria,2024-02-16,Yes,No,No,No,https://eg.hatla2ee.com/en/car/skoda/Octavia-A4/6274731
Daewoo Nubira 2 2004,"280,000 EGP",Dark blue,"198,000 Km",Daewoo,Nubira 2,Giza,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/daewoo/Nubira-2/6274769
Brilliance FRV 2009,,Silver,,Brilliance,FRV,Marsa Matrouh,2024-02-16,No,Yes,No,Yes,https://eg.hatla2ee.com/en/car/brilliance/frv/6274754
Kia Sephia 2000,"240,000 EGP",Silver,"250,000 Km",Kia,Sephia,Tagamo3 - New Cairo,2024-02-16,No,Yes,No,Yes,https://eg.hatla2ee.com/en/car/kia/sephia/6286683
Changan Benni 2016,"300,000 EGP",Red,"37,000 Km",Changan,Benni,Helwan,2024-02-16,Yes,Yes,No,No,https://eg.hatla2ee.com/en/car/changan/benni/6286668
Opel Astra 2020,"1,000,000 EGP",Silver,"96,500 Km",Opel,Astra,Alexandria,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/opel/astra/6286677
Chery Tiggo 3 2022,"950,000 EGP",Dark grey,"70,000 Km",Chery,Tiggo 3,El Haram,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/chery/Tiggo3/6286674
Mercedes E 250 2010,"1,650,000 EGP",Dark grey,"145,000 Km",Mercedes,E 250,6 October,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mercedes/e-250/6286667
Kia Forte 2010,"800,000 EGP",Mocha,"100,000 Km",Kia,Forte,Damanhur,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/kia/forte/6286664
Jeep Liberty 2006,"660,000 EGP",Silver,"300,000 Km",Jeep,Liberty,El Haram,2024-02-16,Yes,Yes,Yes,No,https://eg.hatla2ee.com/en/car/jeep/liberty/6274686
Daihatsu Grand terios 2009,"680,000 EGP",Black,"220,000 Km",Daihatsu,Grand terios,Warraq,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/daihatsu/grand-terios/6274691
Lada 1500 2020,"340,000 EGP",Brown,"63,000 Km",Lada,1500,Suez,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/lada/1500/6274665
Citroën C4 Picasso 2008,"550,000 EGP",Black,"170,000 Km",Citroën,C4 Picasso,Shibin el Kom,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/citroen/c4-picasso/6274706
Byd F3 2020,"480,000 EGP",Dark grey,"149,000 Km",Byd,F3,El Haram,2024-02-16,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/byd/f3/6286646
Renault Logan 2019,"620,000 EGP",Brown,"62,000 Km",Renault,Logan,Port Said,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/renault/logan/6286650
Honda Accord 2022,"2,450,000 EGP",Petroleum,,Honda,Accord,Sohag,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/honda/accord/6286568
Kia Cerato 2011,"630,000 EGP",Silver,"140,000 Km",Kia,Cerato,Pyramids Gardens,2024-02-16,Yes,Yes,No,No,https://eg.hatla2ee.com/en/car/kia/cerato/6276902
Jeep Renegade 2017,"1,100,000 EGP",White,"150,000 Km",Jeep,Renegade,Shobra,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/jeep/Renegade/6278441
Hyundai Verna 2012,"380,000 EGP",Dark grey,"300,000 Km",Hyundai,Verna,10th of Ramadan,2024-02-16,No,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/hyundai/verna/6286499
Mercedes E 200 2020,"3,800,000 EGP",Black,"87,000 Km",Mercedes,E 200,Sheikh Zayed City,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/mercedes/e-200/6225050
MG ZS 2022,"1,175,000 EGP",White,"48,000 Km",MG,ZS,Banha,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/moris-garage/zs/6274538
Mercedes C 200 2002,"735,000 EGP",White,"320,000 Km",Mercedes,C 200,Heliopolis,2024-02-16,Yes,Yes,No,Yes,https://eg.hatla2ee.com/en/car/mercedes/c-200/6286464
Kia Sportage 2021,"1,800,000 EGP",Black,"55,000 Km",Kia,Sportage,Mokattam,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/kia/sportage/6286442
Nissan Sunny 2019,"650,000 EGP",Silver,"85,000 Km",Nissan,Sunny,Monufia,2024-02-16,Yes,Yes,Yes,Yes,https://eg.hatla2ee.com/en/car/nissan/sunny/6286425
Fiat Punto 2010,"510,000 EGP",Black,"168,000 Km",Fiat,Punto,6 October,2024-02-16,No,No,No,No,https://eg.hatla2ee.com/en/car/fiat/puntu/6286388
